text	question	true_1	true_2	true_3	true_4	true_5	false_1	false_2	false_3	false_4	false_5
"Во время бала-маскарада султан выслушивает сокровища горожанок: одни хотят наслаждений, другие — денег. А после бала двое офицеров едва не убивают друг друга: Амина, любовница Алибега, подавала надежды Нассесу! Но сокровище Амины признается, что подавало надежды вовсе не Нассесу, а его статному лакею. Как же глупы мужчины! Думают, что такие мелочи, как чины и звания, могут обмануть сокровище женщины! Офицеры в ужасе отшатываются от Амины, а султан выслушивает сокровище Киприи — высохшей особы, желающей, чтобы её считали блондинкой. В молодости она танцевала в марокканском театре; содержатель — Мегемет Трипадхуд привёз её в Париж и бросил, но придворные прельстились марокканкой, и она заработала кучу денег. Однако великим талантам нужна большая сцена. В поте лица трудилась Киприя в Лондоне, Вене, Риме, в Испании и Индии, побывала в Константинополе — но ей не понравилась страна, где сокровища сидят под замком, хотя мусульмане и отличаются лёгкостью французов, пылкостью англичан, силой германцев, стойкостью испанцев и налётом итальянской утончённости. Потом Киприя славно поработала в Конго, а став ни на что не годной, подцепила знатного и богатого добряка-мужа. О своих похождениях сокровище-путешественник болтает на английском, итальянском, испанском и латыни, но автор не рекомендует переводить эти непристойности дамам."	Каким талантом обладала высохшая особа?	Киприя, высохшая особа, была танцовщицей.	Высохшая особа обладала талантом танцовщицы.	Эта сухопарая личность имела способности к танцевальному искусству.	Киприя, чье тело было стройным и сухим, занималась танцами.	Стройная и похудевшая Киприя профессионально выступала в качестве танцовщицы.	В молодости она пела в марокканском театре.	Высохшая особа желала, чтобы её считали блондинкой.	Высохшая особа обладала талантом вышивальщицы.	Иссушённая фигура была наделена умением вышивать.	Сухонький человек обладал навыком создания вышивок.
Курсанта Омского танкового инженерного института приговорили к восьми годам колонии строгого режима за захват заложников. Об этом 5 августа сообщает РИА Новости. Курсанта Дениса Гапоненко признали виновным в захвате заложников, незаконном лишении свободы, хулиганстве, покушении на убийство, а также хищении и незаконном ношении оружия и боеприпасов. Сам Гапоненко признал свою вину частично. В ходе следствия он добровольно возместил своей бывшей девушке моральный ущерб на сумму 50 тысяч рублей, выплатил по 30 тысяч рублей двум другим потерпевшим, а также заплатил за ремонт квартиры, повреждённой выстрелами из автомата. 18 декабря 2009 года Гапоненко узнал, что его девушка собирается на три месяца уехать на работу в Италию. Он был так возмущён этим известием, что самовольно покинул пост, взяв с собой автомат. Курсант поймал такси и ворвался в квартиру к троим знакомым своей девушки. Он заставил их обманом заманить её в квартиру, после чего стал насильно удерживать всех четверых заложников в помещении. Никаких внятных требований преступник не предъявлял. На место происшествия вызвали отца Гапоненко. После переговоров с ним курсант согласился отпустить заложников и сдался. Никто из заложников не пострадал.	Что плохого сделал курсант?	Курсант самовольно покинул пост, ворвался в квартиру к трем знакомым его девушки, заманив и ее туда, и насильно удерживал данных заложников в помещении.	Курсант с оружием покинул пост, взял в заложники девушку и троих ее друзей и насильно удерживал их.	Покинув пост с оружием, курсант захватил четверых людей, включая одну девушку и трех ее друзей, и держал их в заложниках против их воли.	Бросив свою вахту, курсант ворвался в апартаменты, где обитали трое, знакомых с его партнершей, подсказал и ей присоединиться к ним и потом силой угомонил их всех в помещении в роли заложников.	Без уведомления оставив пост, курсант вломился в дом, где проживали трое знакомых его спутницы, заманил ее туда и в дальнейшем насильно держал всех в качестве заложников внутри.	Курсант самовольно покинул пост, купил на рынке обрез и расстрелял трех знакомых девушки.	Курсант самовольно покинул пост, купил на рынке обрез и расстрелял свою девушку за то, что она едет в Испанию.	Студент военной академии ушёл с поста без разрешения, приобрел на рынке стрелковое оружие и осуществил стрельбу по трём девушкам, которых он знал.	Учащийся военного училища без разрешения оставил свой пост, приобрел на базаре огнестрельное оружие и открыл огонь по трём девушкам, которых знал.	Курсант без уведомления вышел со своего поста, купил в торговом районе ружье и произвел выстрелы по трём знакомым девушкам.
Мартин Иден становится наконец знаменитым, но все это глубоко ему безразлично. Он получает приглашения от тех людей, которые раньше высмеивали его и считали бездельником, и иногда даже принимает их. Его утешает мысль поехать на Маркизские острова и жить там в тростниковой хижине. Он щедро раздаёт деньги своим родным и людям, с которыми связала его судьба, но уже ничто не может тронуть его. Ни искренняя горячая любовь молоденькой работницы Лиззи Конолли, ни неожиданный приход к нему Руфи, теперь готовой пренебречь гласом молвы и остаться у Мартина. Мартин отплывает на острова на «Марипозе», и ко времени отъезда Тихий океан кажется ему ничуть не лучше всего остального. Он понимает, что для него нет выхода. И после нескольких дней плавания он выскальзывает в море через иллюминатор. Чтобы обмануть волю к жизни, он набирает в лёгкие воздух и ныряет на большую глубину. Когда кончается весь воздух, он уже не в состоянии подняться на поверхность. Он видит яркий, белый свет и ощущает, что летит в тёмную бездну, и тут сознание навсегда покидает его.	Кто хочет поехать на Маркизские острова и жить там в тростниковой хижине?	Это идея, которая утешает Мартина Идена.	Мартин Иден хочет поехать на Маркизские острова и жить там в тростниковой хижине.	Эта мысль приносит утешение Мартину Идену.	Мартин Иден находит утешение в этой идее.	Мартин Иден стремится уехать жить на Маркизские острова, выбрав в качестве жилища тростниковую хижину.	Руфь хочет поехать на Маркизские острова и жить там в тростниковой хижине.	Это идея, которая утешает Лиззи Конолли.	Руфь вынашивает планы об уединенной жизни на Маркизских островах в хижине, сделанной из тростника.	Данная мысль служит утешением для Лиззи Конолли.	Эта концепция приносит утешение Лиззи Конолли.
Гарри вынужден идти на противозаконную сделку: за тысячу долларов он соглашается нелегально вывезти с Кубы нескольких китайцев. Посредник даёт понять, что китайцев вовсе не надо доставлять на материк, а просто шлёпнуть по дороге. Морган предпочитает убить самого негодяя-посредника, а китайцев высаживает на кубинском же побережье, недалеко от того места, где взял их на борт. Китайцы, не понимая, что спаслись от верной смерти, недовольны, что их надули, но открыто не ропщут. Лиха беда — начало. Гарри, которому надо кормить семью, становится контрабандистом — перевозит виски с Кубы в Ки-Уэст. Однажды, когда Гарри вместе с подручным-негром совершает рядовой рейс с грузом виски, их нагоняет катер морской полиции. Им приказано остановиться. Когда стражи порядка видят, что на моторке и не думают подчиняться приказу, они открывают стрельбу и ранят Гарри и негра. Тем, однако, удаётся уйти от преследования, но негр совсем раскис, да и Гарри с трудом бросает якорь в водах рядом с Ки-Уэстом. Штормит. Гарри боится, что посредники не придут за опасным грузом.	Как китайцы добрались до материка?	Китайцы не добрались до материка.	Морган высадил китайцев недалеко от места, где взял на борт.	Китайские путешественники не смогли достигнуть континента.	Представители Китая не оказались на материковой части.	Морган оставил китайцев вблизи места, откуда он их забрал.	Китайцы добрались до материка на корабле.	Китайцы добрались до материка на лодке.	Путешественники из Китая на своём судне успешно достигли континентальных земель.	Используя лодку, китайские путешественники осуществили доплытие до континентальной части.	Прибыв на материк, представители Китая использовали для этого лодку.
Больше всех украшает наш замкнутый земной мирок некое высокое растение с пышными белыми цветами. То есть каждый цветок в отдельности очень мал и был бы вовсе незаметен, но собрались цветы на стебле в бесчисленном множестве и образуют пышную, белую, слегка желтоватую шапку растения. А так как его стебли никогда не растут поодиночке, то пышные шапки сливаются, и вот уже как бы белое облако дремлет среди неподвижной лесной травы. Цветы эти я вижу каждый раз, и не просто вижу, а выделяю из всех остальных цветов. А вот спроси меня, как они называются, – не знаю, почему-то ни разу не слыхал их названия и от других, тоже здесь выросших людей. Одуванчик, ромашка, василёк, подорожник, колокольчик, ландыш – на это нас ещё хватает. Эти растения мы ещё можем называть по имени. Впрочем, зачем же сразу обобщать, – может быть, один лишь я и не знаю? Нет, кого бы я ни расспрашивал в селе, показывая белые цветы, все разводили руками: – Кто их знает! Полно их растёт: и на реке, и в лесных оврагах. А как называются?.. Да тебе на что? Цветы и цветы, их ведь не жать, не молотить. Нюхать и без названия можно. Мы вообще-то, я бы сказал, немного равнодушны ко всему, что окружает нас на земле. Нет, нет, конечно, мы часто говорим, что любим природу: эти перелески, и холмы, и роднички, и огневые, на полнеба, летние тёплые закаты. Ну и собрать букет цветов, ну и, конечно, прислушаться к пению птиц, к их щебетанию в золотых лесных верхах в то время, когда сам лес ещё полон темно-зелёной, чёрной почти прохлады. Ну и сходить по грибы, ну и поудить рыбу, да и просто полежать на траве, глядя вверх на плывущие облака. А как называется трава, на которой ты теперь так бездумно и так блаженно лежишь? На месте, которое ты занял своим телом, растёт десятка два разнообразных трав, и ведь каждая из них чем-нибудь интересна: то ли образом жизни, то ли целебными для человека свойствами. (По В.А. Солоухину*)	Почему сливаются пышные шапки цветов, которые автор выделяет из всех остальных?	Потому что его стебли не растут поодиночке.	Так как стебли этого растения никогда не растут поодиночке.	Стебли этого растения в природе всегда развиваются группами, а не в одиночку.	Это связано с тем, что стебли у него развиваются не по одному.	Стебли данного растения всегда растут вместе, а не по одному.	Так как на стекле бесчисленное множество цветов.	Так как на стекле желтоватая шапка.	Поскольку стекло покрылось желтоватым отложением.	Ввиду того, что стекло покрыто множеством разнообразных цветов.	Из-за того, что на поверхности стекла насчитывается бесконечное разнообразие цветов.
"Узнав о решении Басилио отдать корону Польши принцу Московии, народ поднимает восстание и освобождает Сехизмундо из темницы. Люди не хотят видеть чужестранца на престоле, а молва о том, где спрятан наследный принц, уже облетела пределы королевства; Сехизмундо возглавляет народный бунт. Войска под его предводительством побеждают сторонников Басилио, и король уже приготовился к смерти, отдав себя на милость Сехизмундо. Но принц переменился: он многое передумал, и благородство его натуры взяло верх над жестокостью и грубостью. Сехизмундо сам припадает к стопам Басилио как верный подданный и послушный сын. Сехизмундо делает ещё одно усилие и переступает через свою любовь к Росауре ради чувства, которое женщина питает к Астольфо. Принц Московии пытается сослаться на разницу в их происхождении, но тут в разговор вступает благородный Клотальдо: он говорит, что Росаура — его дочь, он узнал её по шпаге, когда-то подаренной им её матери. Таким образом, Росаура и Астольфо равны по своему положению и между ними больше нет преград, и справедливость торжествует — Астольфо называет Росауру своей женой. Рука Эстрельи достаётся Сехизмундо. Со всеми Сехизмундо приветлив и справедлив, объясняя своё превращение тем, что боится снова проснуться в темнице и хочет пользоваться счастьем, словно сном."	Что послужило поводом к восстанию?	Решение Басилио отдать корону Польши принцу Московии.	Люди не хотят видеть чужестранца на престоле.	Граждане против того, чтобы властью овладел иностранец.	Население не желает, чтобы престол занимал человек из другой страны.	Люди выступают против иностранца на королевском троне.	Люди рады чужестранцу на престоле.	Решение Басилио отдать корону Польши принцу Англии.	Граждане приветствуют иностранца во главе государства.	Население восприняло с радостью правителя-иностранца.	Общество с энтузиазмом относится к иностранному правителю на троне.
Всякое плохое искусство, всякая глупая речь, всякая пустая книга — шум. При этом шум возникает из духовного «ничто» и растворяется в духовном «ничто». Он выманивает человека из его духовного убежища, из его сосредоточенности, раздражает его, связывает, так что тот живёт уже не духовной, а исключительно внешней жизнью. Говоря языком современной психологии, он прививает человеку «экстравертную установку», ничем не возмещая ему это. Примерно так: «Приветствую тебя, человек!. Послушай-ка! Впрочем, мне нечего тебе сказать!.» И снова... И снова... (1О) Бедный человек подвергается нападкам и даже не может отразить нападающего: «Если тебе нечего сказать, оставь меня в покое». И чем больше человек захвачен шумом, тем привычнее для его души внимание к чисто внешнему. Благодаря шуму внешний мир делается значимым. (1З) Он оглушает человека, поглощает его. Шум, так сказать, «ослепляет» восприятие, и человек становится духовно «глух». Шум перекрывает всё: во внешнем — пение мира, откровение природы, вдохновение от космического безмолвия. Во внутреннем — возникновение слова, рождение мелодии, отдохновение души, покой разума. Потому что воистину, где нет тишины, там нет покоя. Где шумит ничтожное, там смолкает Вечное. (По И. Ильину)	Что такое шум в духовной жизни человека?	Шум - это бесполезная информация в духовном развитии человека.	Шум - это глупая речь, плохое искусство, всякая пустая книга.	В процессе духовного роста человека, шум представляет собой ненужные сведения.	В пути духовного совершенствования, всякий шум является излишней информацией.	Под шумом понимают невразумительную болтовню, неудачные художественные работы и книги, лишенные содержания.	Шум - это неприятный для слуха звук.	Шум - это резкие и громкие звуки, заглушающие что либо.	Звук, влияющий на наши уши негативно, определяется как шум.	Звуки, которые воспринимаются нашим слухом как неприятные, называются шумом.	Под шумом понимаются резкие звуковые проявления высокой громкости, мешающие услышать что-либо ещё.
"""Газета ""Ведомости"" назвала двух кандидаток на пост главы пресс-службы мэра Москвы Сергея Собянина. Эту должность займет либо начальник отдела по работе со СМИ управления пресс-службы президента Гульнара Пенькова, либо журналистка РИА Новости из кремлевского пула Елена Глушакова. Сама Глушакова в интервью изданию информацию о своем назначении опровергла. С Пеньковой газете связаться не удалось. По словам коллег Пеньковой, опрошенных ""Ведомостями"", она коммуникабельна и неконфликтна. ""Это просто самая красивая девушка в кремлёвской пресс-службе, настоящая восточная красавица, идёт по коридору - все расступаются"", - охарактеризовал её анонимный собеседник издания. ""Независимая газета"" пишет, что с кандидатурой своего пресс-секретаря Собянин пока не определился. Судьба бывшего главы пресс-службы столичных властей Сергея Цоя неизвестна. Сам он заявил ""НГ"", что ""пакует вещи"". По сведениям ""Ведомостей"", он может на некоторое время задержаться в мэрии, пока его не выведут из совета директоров телеканала ТВЦ. Помимо нового пресс-секретаря у Собянина появится новый полпред в Мосгордуме. Ею станет Анастасия Ракова, руководитель аппарата московского правительства, пишет газета ""Ведомости"". По предложению президента России Дмитрия Медведева Мосгордума 21 октября утвердила Сергея Собянина мэром Москвы. Он сразу же приступил к кадровым перестановкам. Так, он поменял трёх префектов округов, а также лишил нескольких чиновников статуса министров."""	Каковы кандидатуры на пост главы пресс-службы мэра Москвы Сергея Собянина?	Две кандидатуры - Елена Глушакова и Гульнара Пенькова.	Две кандидатки - Гульнара Пенькова и Елена Глушакова.	Среди предложенных лиц для рассмотрения были Елена Глушакова и Гульнара Пенькова.	В числе предложенных кандидатов – Елена Глушакова и Гульнара Пенькова.	Елена Глушакова и Гульнара Пенькова были предложены в качестве кандидатов.	Сергей Цой и Дмитрий Медведев.	Анастасия Ракова и Дмитрий Медведев.	Анастасия Ракова и Сергей Цой.	Анастасия Ракова вместе с Сергеем Цоем.	Дмитрий Медведев совместно с Сергеем Цоем.
"""Газета ""Ведомости"" назвала двух кандидаток на пост главы пресс-службы мэра Москвы Сергея Собянина. Эту должность займет либо начальник отдела по работе со СМИ управления пресс-службы президента Гульнара Пенькова, либо журналистка РИА Новости из кремлевского пула Елена Глушакова. Сама Глушакова в интервью изданию информацию о своем назначении опровергла. С Пеньковой газете связаться не удалось. По словам коллег Пеньковой, опрошенных ""Ведомостями"", она коммуникабельна и неконфликтна. ""Это просто самая красивая девушка в кремлёвской пресс-службе, настоящая восточная красавица, идёт по коридору - все расступаются"", - охарактеризовал её анонимный собеседник издания. ""Независимая газета"" пишет, что с кандидатурой своего пресс-секретаря Собянин пока не определился. Судьба бывшего главы пресс-службы столичных властей Сергея Цоя неизвестна. Сам он заявил ""НГ"", что ""пакует вещи"". По сведениям ""Ведомостей"", он может на некоторое время задержаться в мэрии, пока его не выведут из совета директоров телеканала ТВЦ. Помимо нового пресс-секретаря у Собянина появится новый полпред в Мосгордуме. Ею станет Анастасия Ракова, руководитель аппарата московского правительства, пишет газета ""Ведомости"". По предложению президента России Дмитрия Медведева Мосгордума 21 октября утвердила Сергея Собянина мэром Москвы. Он сразу же приступил к кадровым перестановкам. Так, он поменял трёх префектов округов, а также лишил нескольких чиновников статуса министров."""	Какие должности при мэрии Москвы обзавелись новыми кандидатами?	Глава пресс-службы мэра Москвы Сергея Собянина и полпред.	Полпред и глава пресс-службы мэра Москвы.	Официальный представитель мэрии и лидер отдела по связям с общественностью столичного градоначальника.	Заместитель по прессе московского мэра Сергея Собянина, а также полномочный представитель.	Руководитель службы связей с общественностью мэра Москвы, Сергея Собянина, и его полномочный представитель.	Глава пресс-службы мэра Москвы и президента России.	Полпред и глава пресс-службы мэра Нью-Йорка.	Восточная красавица и президент России.	Официальный представитель вместе с главой отдела прессы мэрии Нью-Йорка.	Руководитель службы информации и связи с общественностью мэрии Москвы и главы государства России.
Мария продолжает работать. Хозяин заведения сообщает ей, что Ральф — «особый клиент» его заведения. Однажды вечером он поручает Марии ещё одного «особого клиента», красивого черноволосого англичанина. Тот платит девушке тысячу франков и отвозит в отель. Марию это тревожит. Она отказывается остаться с англичанином на всю ночь, но и уйти, не узнав, что такое «особый клиент», она не хочет. Англичанин оказывается садомазохистом, но в этот вечер он лишь объясняет Марии, что боль может превратиться «в ликование, в ощущение полноты жизни, в блаженство». Люди не осмеливаются заглянуть вглубь своей души и потому никогда не узнают, откуда проистекает желание выпустить на волю дикого хищного зверя. Потом Мария встречается с Ральфом. Они предаются фантазиям у камина, но близости снова не происходит — девушка хочет подготовить любимого к сексу. Через несколько дней она встречается с Теренсом и открывает в себе новую грань. Ей нравится проявлять покорность и чувствовать боль. Впервые за свою карьеру Мария достигает оргазма с клиентом.	Что сообщает хозяин заведения Марии?	Что Ральф — «особый клиент».	Хозяин сообщает Марии, что Ральф — «особый клиент» его заведения.	"Ральф – это клиент, не похожий на других, ""особенный""."	"Ральф относится к категории ""особых покупателей""."	Владелец уведомляет Марию о том, что Ральф является «особым клиентом» его места.	Хозяин заведения сообщает Марии, что Теренс — «особый клиент» его заведения.	Хозяин заведения сообщает Марии, что англичанин - садомазохист.	Хозяин заведения сообщает Марии, что боль может превратиться в ликование.	Мария узнала от владельца заведения, что скорбь способна переродиться в восторг.	Владелец места разговаривает с Марией, сообщая ей, что англичанин практикует садомазохизм.
Альберт идёт к дому Анны и видит, что все огни погашены и только из её окна пробивается луч света. Как узнать, что с ней? Ему приходит в голову спасительная мысль, что в случае её болезни он может через посыльного проведать о её здоровье, а посыльному вовсе не обязательно знать, кто дал ему поручение. Так он узнает, что Анна тяжело больна тифозной горячкой и болезнь её очень опасна. Альберт невыносимо страдает при мысли, что Анна может сейчас умирать, а ему нельзя повидать её перед смертью. Но он не решается броситься наверх к своей возлюбленной даже теперь, страшась навредить ей и себе оглаской их романа. Убитый горем, в полузабытьи, Альберт бродит вокруг дома возлюбленной, не смея зайти к ней проститься. Проходит неделя с их последнего свидания. Рано утром Альберт бежит к дому Анны, и прислуга сообщает, что Анна скончалась полчаса назад. Теперь мучительные часы ожидания Анны кажутся ему счастливейшими в жизни. И опять герою недостаёт мужества войти в комнаты, и он возвращается через час, надеясь смешаться с толпой и остаться незамеченным. На лестнице он сталкивается с незнакомыми скорбящими людьми, и те только благодарят его за визит и внимание.	Почему убитый горем, в полузабытьи, Альберт бродит вокруг дома возлюбленной, но не смеет зайти к ней проститься?	Не хочет огласки их отношений.	Боится навредить ей и себе оглаской их романа.	Предпочитает избегать публичности в их отношениях.	Хочет держать их отношения в тайне.	Желает сохранять конфиденциальность их связи.	Прошла целая неделя с их последнего свидания.	Прислуга сообщила, что Анна скончалась полчаса назад.	Обслуживающий персонал доложил о том, что Анна умерла тридцать минут назад.	Служащие проинформировали, что смерть Анны наступила полчаса тому назад.	Сообщение от слуг пришло о том, что Анна покинула этот мир полчаса назад.
Гордон, боготворивший Мартина, набрасывается с упрёками на Олуэн, которая только что призналась, что ненавидела Мартина за его коварство и интриги. Олуэн признается, что это она застрелила Мартина, но не намеренно, а случайно. Олуэн рассказывает о том, что застала Мартина в тот роковой вечер одного. Тот был в ужасном состоянии, одурманенный каким-то наркотиком и подозрительно весёлый. Он принялся дразнить Олуэн, называл её чопорной старой девой, закореневшей в предрассудках, говорил, что она никогда не жила полной жизнью, заявлял, что она напрасно подавляет желание, которое испытывает к нему. Мартин возбуждался все больше и больше и предложил Олуэн снять платье. Когда возмущённая девушка захотела уйти, Мартин загородил собою дверь, а в руках у него появился револьвер. Олуэн попыталась его оттолкнуть, но он начал срывать с неё платье. Защищаясь, Олуэн схватила его за руку, в которой был пистолет, и повернула пистолет дулом к нему. Палец Олуэн нажал на курок, раздался выстрел, и Мартин упал, сражённый пулей.	Мартин пытался ограбить Олуэн?	Нет. Мартин пытался её изнасиловать.	Нет. Мартин предложил её раздеться не для того, чтобы продать платье, а потому что возбудился.	Нет, Мартин не велел ей снять одежду с целью продажи наряда, а из-за своего внезапного возбуждения.	Нет. Мартин стремился к насильственным действиям против неё.	Не для продажи платья Мартин предложил ей снять одежду, а потому что чувство возбуждения овладело им.	Да. Он хотел продать её платье.	Да. Мартин грабил всех подряд, с помощью пистолета.	Верно, он стремился распродать платье, которое было у неё.	Держа в руках пистолет, Мартин не делал исключений, ограбляя кого попало.	Мартин совершал ограбления, используя пистолет, и его жертвами становились случайные люди.
Гордон, боготворивший Мартина, набрасывается с упрёками на Олуэн, которая только что призналась, что ненавидела Мартина за его коварство и интриги. Олуэн признается, что это она застрелила Мартина, но не намеренно, а случайно. Олуэн рассказывает о том, что застала Мартина в тот роковой вечер одного. Тот был в ужасном состоянии, одурманенный каким-то наркотиком и подозрительно весёлый. Он принялся дразнить Олуэн, называл её чопорной старой девой, закореневшей в предрассудках, говорил, что она никогда не жила полной жизнью, заявлял, что она напрасно подавляет желание, которое испытывает к нему. Мартин возбуждался все больше и больше и предложил Олуэн снять платье. Когда возмущённая девушка захотела уйти, Мартин загородил собою дверь, а в руках у него появился револьвер. Олуэн попыталась его оттолкнуть, но он начал срывать с неё платье. Защищаясь, Олуэн схватила его за руку, в которой был пистолет, и повернула пистолет дулом к нему. Палец Олуэн нажал на курок, раздался выстрел, и Мартин упал, сражённый пулей.	Как получилось, что револьвер выстрелил в Мартина?	Олуэн случайно дёрнула руку Мартина с револьвером, когда отбивалась от него.	Нечаянно, в пылу борьбы, Олуэн нажала на курок, когда пистолет смотрел на Мартина.	Во время отражения атаки Мартина, Олуэн нечаянно зацепила его руку, держащую револьвер.	Борясь с Мартином, Олуэн случайно схватила за руку, в которой он держал револьвер.	В попытке защититься от Мартина, Олуэн невольно потянула его за руку с револьвером.	Олуэн отняла револьвер у Мартина и хладнокровно его пристрелила.	Мартин застрелился, будучи невменяемым от наркотиков.	Мартин, потеряв контроль из-за влияния наркотиков, принял решение о самоубийстве, используя огнестрельное оружие.	Мартина лишила оружия Олуэн, после чего безжалостно произвела выстрел.	В состоянии наркотического бреда Мартин лишил себя жизни, выстрелив себе.
